Entidad,Año,Total,Diputadas_locales,Diputados_locales,%_diputadas,%_diputados
Aguascalientes ,2019,27,14,13,51.9,48.1
Baja California ,2019,25,9,16,36,64
Baja California Sur ,2019,21,12,9,57.1,42.9
Campeche ,2019,35,18,17,51.4,48.6
Chiapas ,2019,41,27,14,65.9,34.1
Chihuahua ,2019,33,15,18,45.5,54.5
Ciudad De México,2019,66,33,33,50,50
Coahuila De Zaragoza ,2019,25,14,11,56,44
Colima ,2019,25,14,11,56,44
Durango,2019,25,11,14,44,56
Estado De México ,2019,75,37,38,49.3,50.7
Guanajuato,2019,36,18,18,50,50
Guerrero ,2019,46,19,27,41.3,58.7
Hidalgo ,2019,30,16,14,53.3,46.7
Jalisco ,2019,39,16,23,41,59
Michoacán ,2019,40,16,24,40,60
Morelos ,2019,30,21,9,70,30
Nayarit ,2019,30,11,19,36.7,63.3
Nuevo León ,2019,42,21,21,50,50
Oaxaca ,2019,42,23,19,54.8,45.2
Puebla ,2019,41,19,22,46.3,53.7
Querétaro ,2019,25,13,12,52,48
Quintana Roo ,2019,25,11,14,44,56
San Luis Potosí ,2019,28,13,15,46.4,53.6
Sinaloa,2019,40,19,21,47.5,52.5
Sonora ,2019,33,14,19,42.4,57.6
Tabasco ,2019,35,18,17,51.4,48.6
Tamaulipas ,2019,36,16,20,44.4,55.6
Tlaxcala ,2019,25,15,10,60,40
Veracruz ,2019,50,25,25,50,50
Yucatán,2019,25,12,13,48,52
Zacatecas,2019,30,14,16,46.7,53.3
Aguascalientes,2020,27,14,13,51.85,48.15
Baja California,2020,25,12,13,48,52
Baja California Sur,2020,21,13,8,61.9,38.1
Campeche,2020,35,15,20,42.86,57.14
Chiapas,2020,25,15,10,60,40
Chihuahua,2020,33,15,18,45.45,54.55
Ciudad de México,2020,66,33,33,50,50
Coahuila de Zaragoza,2020,25,14,11,56,44
Colima,2020,25,14,11,56,44
Durango,2020,25,10,15,40,60
Estado De México ,2020,75,37,38,49.33,50.67
Guanajuato,2020,36,17,19,47.22,52.78
Guerrero,2020,46,19,27,41.3,58.7
Hidalgo,2020,30,16,14,53.33,46.67
Jalisco,2020,38,15,23,39.47,60.53
Michoacán,2020,40,16,24,40,60
Morelos,2020,22,14,8,63.64,36.36
Nayarit,2020,31,11,20,35.48,64.52
Nuevo León,2020,42,21,21,50,50
Oaxaca,2020,42,22,20,52.38,47.62
Puebla,2020,41,19,22,46.34,53.66
Querétaro,2020,25,12,13,48,52
Quintana Roo,2020,50,24,26,48,52
San Luis Potosí,2020,27,13,14,48.15,51.85
Sinaloa,2020,40,19,21,47.5,52.5
Sonora,2020,33,14,19,42.42,57.58
Tabasco,2020,35,18,17,51.43,48.57
Tamaulipas,2020,38,16,22,42.11,57.89
Tlaxcala,2020,25,15,10,60,40
Veracruz,2020,43,21,22,48.84,51.16
Yucatán,2020,25,13,12,52,48
Zacatecas,2020,29,16,13,55.17,44.83
