Entidad,Quintil,Año,Hombres,Mujeres,%_Hombres_quintil,%_Mujeres_quintil,%_hombres_sexo,%_mujeres_sexo,,,,,,,,,,
Nacional,I,2016," 3,378,891 "," 4,067,008 ",11.5,22.1,45.4,54.6,,,,,,,,,,
Aguascalientes,I,2016,27166,45987,8.8,22.1,37.1,62.9,,,,,,,,,,
Baja California,I,2016,39217,58690,4.2,10.3,40.1,59.9,,,,,,,,,,
Baja California Sur,I,2016,12137,15567,5.8,12.6,43.8,56.2,,,,,,,,,,
Campeche,I,2016,29065,43056,13.3,32.4,40.3,59.7,,,,,,,,,,
Chiapas,I,2016,45794,60183,6.2,14.9,43.2,56.8,,,,,,,,,,
Chihuahua,I,2016,12976,20976,7.1,17.0,38.2,61.8,,,,,,,,,,
Coahuila De Zaragoza,I,2016,405812,340693,35.3,51.1,54.4,45.6,,,,,,,,,,
Colima,I,2016,58970,81504,6.3,13.9,42.0,58.0,,,,,,,,,,
Distrito Federal,I,2016,98123,152845,4.4,8.8,39.1,60.9,,,,,,,,,,
Durango,I,2016,48558,51787,11.7,21.4,48.4,51.6,,,,,,,,,,
Guanajuato,I,2016,157705,217664,11.0,23.5,42.0,58.0,,,,,,,,,,
Guerrero,I,2016,217897,164846,28.2,35.6,56.9,43.1,,,,,,,,,,
Hidalgo,I,2016,110581,139617,15.8,32.6,44.2,55.8,,,,,,,,,,
Jalisco,I,2016,150236,264366,7.6,18.8,36.2,63.8,,,,,,,,,,
Mexico,I,2016,292918,455309,7.1,17.9,39.1,60.9,,,,,,,,,,
Michoacan de Ocampo,I,2016,177135,202423,16.3,31.5,46.7,53.3,,,,,,,,,,
Morelos,I,2016,47607,70409,10.4,22.5,40.3,59.7,,,,,,,,,,
Nayarit,I,2016,51991,54933,18.0,29.0,48.6,51.4,,,,,,,,,,
Nuevo Leon,I,2016,47896,91688,3.6,11.9,34.3,65.7,,,,,,,,,,
Oaxaca,I,2016,222169,151382,25.0,32.0,59.5,40.5,,,,,,,,,,
Puebla,I,2016,216591,303221,14.7,32.1,41.7,58.3,,,,,,,,,,
Queretaro de Arteaga,I,2016,29262,49969,5.8,15.1,36.9,63.1,,,,,,,,,,
Quintana Roo,I,2016,27256,40831,6.2,15.6,40.0,60.0,,,,,,,,,,
San Luis Potosi,I,2016,100457,94494,15.1,23.5,51.5,48.5,,,,,,,,,,
Sinaloa,I,2016,67316,73058,9.2,17.2,48.0,52.0,,,,,,,,,,
Sonora,I,2016,62008,76424,8.4,17.0,44.8,55.2,,,,,,,,,,
Tabasco,I,2016,76291,83331,13.3,27.9,47.8,52.2,,,,,,,,,,
Tamaulipas,I,2016,65065,95426,7.5,17.3,40.5,59.5,,,,,,,,,,
Tlaxcala,I,2016,42109,53322,13.3,27.6,44.1,55.9,,,,,,,,,,
Veracruz-Llave,I,2016,310088,347050,16.5,33.9,47.2,52.8,,,,,,,,,,
Yucatan,I,2016,68761,114135,12.7,32.4,37.6,62.4,,,,,,,,,,
Zacatecas,I,2016,59734,51822,16.8,26.8,53.5,46.5,,,,,,,,,,
Nacional,II,2016,5219813,4263904,17.7,23.2,55.0,45.0,,,,,,,,,,
Aguascalientes,II,2016,42701,44531,13.9,21.4,49.0,51.0,,,,,,,,,,
Baja California,II,2016,76468,83150,8.2,14.5,47.9,52.1,,,,,,,,,,
Baja California Sur,II,2016,22388,19669,10.7,16.0,53.2,46.8,,,,,,,,,,
Campeche,II,2016,44232,32668,20.2,24.6,57.5,42.5,,,,,,,,,,
Chiapas,II,2016,75913,80904,10.2,20.0,48.4,51.6,,,,,,,,,,
Chihuahua,II,2016,23387,29449,12.8,23.9,44.3,55.7,,,,,,,,,,
Coahuila De Zaragoza,II,2016,354708,148609,30.9,22.3,70.5,29.5,,,,,,,,,,
Colima,II,2016,111505,104357,12.0,17.8,51.7,48.3,,,,,,,,,,
Distrito Federal,II,2016,269393,280832,12.2,16.2,49.0,51.0,,,,,,,,,,
Durango,II,2016,75671,61302,18.3,25.3,55.2,44.8,,,,,,,,,,
Guanajuato,II,2016,225357,218539,15.8,23.6,50.8,49.2,,,,,,,,,,
Guerrero,II,2016,202751,125945,26.3,27.2,61.7,38.3,,,,,,,,,,
Hidalgo,II,2016,170465,122846,24.4,28.7,58.1,41.9,,,,,,,,,,
Jalisco,II,2016,251536,306285,12.7,21.8,45.1,54.9,,,,,,,,,,
Mexico,II,2016,656505,728975,15.8,28.7,47.4,52.6,,,,,,,,,,
Michoacan de Ocampo,II,2016,232020,183491,21.3,28.6,55.8,44.2,,,,,,,,,,
Morelos,II,2016,82297,90256,18.0,28.9,47.7,52.3,,,,,,,,,,
Nayarit,II,2016,51138,45670,17.7,24.1,52.8,47.2,,,,,,,,,,
Nuevo Leon,II,2016,92067,85983,6.9,11.2,51.7,48.3,,,,,,,,,,
Oaxaca,II,2016,236303,144488,26.6,30.6,62.1,37.9,,,,,,,,,,
Puebla,II,2016,357261,258487,24.2,27.4,58.0,42.0,,,,,,,,,,
Queretaro de Arteaga,II,2016,54788,66011,10.9,19.9,45.4,54.6,,,,,,,,,,
Quintana Roo,II,2016,52076,50000,11.9,19.1,51.0,49.0,,,,,,,,,,
San Luis Potosi,II,2016,146227,97588,22.0,24.3,60.0,40.0,,,,,,,,,,
Sinaloa,II,2016,109016,86716,14.9,20.4,55.7,44.3,,,,,,,,,,
Sonora,II,2016,93167,97501,12.6,21.7,48.9,51.1,,,,,,,,,,
Tabasco,II,2016,142184,77844,24.7,26.1,64.6,35.4,,,,,,,,,,
Tamaulipas,II,2016,140394,107174,16.2,19.5,56.7,43.3,,,,,,,,,,
Tlaxcala,II,2016,75207,65728,23.7,34.0,53.4,46.6,,,,,,,,,,
Veracruz-Llave,II,2016,564550,277116,30.0,27.1,67.1,32.9,,,,,,,,,,
Yucatan,II,2016,112139,88919,20.7,25.3,55.8,44.2,,,,,,,,,,
Zacatecas,II,2016,75999,52871,21.4,27.3,59.0,41.0,,,,,,,,,,
Nacional,III,2016,6117012,3570813,20.8,19.4,63.1,36.9,,,,,,,,,,
Aguascalientes,III,2016,61102,45302,19.9,21.8,57.4,42.6,,,,,,,,,,
Baja California,III,2016,145293,109001,15.5,19.1,57.1,42.9,,,,,,,,,,
Baja California Sur,III,2016,32753,26645,15.6,21.7,55.1,44.9,,,,,,,,,,
Campeche,III,2016,44822,17092,20.5,12.9,72.4,27.6,,,,,,,,,,
Chiapas,III,2016,165223,94121,22.2,23.3,63.7,36.3,,,,,,,,,,
Chihuahua,III,2016,37204,26798,20.4,21.8,58.1,41.9,,,,,,,,,,
Coahuila De Zaragoza,III,2016,181935,59966,15.8,9.0,75.2,24.8,,,,,,,,,,
Colima,III,2016,231730,171835,24.9,29.3,57.4,42.6,,,,,,,,,,
Distrito Federal,III,2016,374455,375589,16.9,21.6,49.9,50.1,,,,,,,,,,
Durango,III,2016,93327,49437,22.5,20.4,65.4,34.6,,,,,,,,,,
Guanajuato,III,2016,316512,195467,22.1,21.1,61.8,38.2,,,,,,,,,,
Guerrero,III,2016,134740,64411,17.5,13.9,67.7,32.3,,,,,,,,,,
Hidalgo,III,2016,171533,74744,24.5,17.4,69.7,30.3,,,,,,,,,,
Jalisco,III,2016,376877,276650,19.0,19.7,57.7,42.3,,,,,,,,,,
Mexico,III,2016,996841,567010,24.0,22.3,63.7,36.3,,,,,,,,,,
