Entidad,Año,Total,Hombres,Mujeres,%_hombres,%_mujeres
Nacional,2011,3884,2396,1488,61.69,38.31
Aguascalientes,2011,34,19,15,55.88,44.12
Baja California,2011,91,48,43,52.75,47.25
Baja California Sur,2011,32,22,10,68.75,31.25
Campeche,2011,77,50,27,64.94,35.06
Coahuila de Zaragoza,2011,82,53,29,64.63,35.37
Colima,2011,38,26,12,68.42,31.58
Chiapas,2011,186,135,51,72.58,27.42
Chihuahua,2011,208,123,85,59.13,40.87
Distrito Federal,2011,358,212,146,59.22,40.78
Durango,2011,76,52,24,68.42,31.58
Guanajuato,2011,223,110,113,49.33,50.67
Guerrero,2011,160,99,61,61.88,38.13
Hidalgo,2011,65,41,24,63.08,36.92
Jalisco,2011,138,103,35,74.64,25.36
México,2011,364,237,127,65.11,34.89
Michoacán de Ocampo,2011,135,80,55,59.26,40.74
Morelos,2011,76,35,41,46.05,53.95
Nayarit,2011,58,39,19,67.24,32.76
Nuevo León,2011,116,76,40,65.52,34.48
Oaxaca,2011,143,82,61,57.34,42.66
Puebla,2011,91,61,30,67.03,32.97
Querétaro,2011,70,39,31,55.71,44.29
Quintana Roo,2011,51,28,23,54.9,45.1
San Luis Potosí,2011,74,52,22,70.27,29.73
Sinaloa,2011,191,133,58,69.63,30.37
Sonora,2011,82,53,29,64.63,35.37
Tabasco,2011,93,42,51,45.16,54.84
Tamaulipas,2011,107,75,32,70.09,29.91
Tlaxcala,2011,37,26,11,70.27,29.73
Veracruz de Ignacio de la Llave,2011,307,189,118,61.56,38.44
Yucatán,2011,52,19,33,36.54,63.46
Zacatecas,2011,69,37,32,53.62,46.38
Nacional,2012,4040,2474,1566,61.24,38.76
Aguascalientes,2012,38,21,17,55.26,44.74
Baja California,2012,79,44,35,55.7,44.3
Baja California Sur,2012,36,25,11,69.44,30.56
Campeche,2012,87,54,33,62.07,37.93
Coahuila de Zaragoza,2012,82,54,28,65.85,34.15
Colima,2012,38,27,11,71.05,28.95
Chiapas,2012,197,146,51,74.11,25.89
Chihuahua,2012,211,122,89,57.82,42.18
Distrito Federal,2012,355,209,146,58.87,41.13
Durango,2012,74,52,22,70.27,29.73
Guanajuato,2012,221,109,112,49.32,50.68
Guerrero,2012,170,104,66,61.18,38.82
Hidalgo,2012,65,40,25,61.54,38.46
Jalisco,2012,220,149,71,67.73,32.27
México,2012,382,247,135,64.66,35.34
Michoacán de Ocampo,2012,142,84,58,59.15,40.85
Morelos,2012,86,37,49,43.02,56.98
Nayarit,2012,58,39,19,67.24,32.76
Nuevo León,2012,124,80,44,64.52,35.48
Oaxaca,2012,138,76,62,55.07,44.93
Puebla,2012,90,64,26,71.11,28.89
Querétaro,2012,70,38,32,54.29,45.71
Quintana Roo,2012,53,28,25,52.83,47.17
San Luis Potosí,2012,75,54,21,72,28
Sinaloa,2012,188,130,58,69.15,30.85
Sonora,2012,82,50,32,60.98,39.02
Tabasco,2012,103,47,56,45.63,54.37
Tamaulipas,2012,110,77,33,70,30
Tlaxcala,2012,33,19,14,57.58,42.42
Veracruz de Ignacio de la Llave,2012,306,190,116,62.09,37.91
Yucatán,2012,55,20,35,36.36,63.64
Zacatecas,2012,72,38,34,52.78,47.22
Nacional,2013,4171,2547,1624,61.06,38.94
Aguascalientes,2013,38,22,16,57.89,42.11
Baja California,2013,96,52,44,54.17,45.83
Baja California Sur,2013,38,23,15,60.53,39.47
Campeche,2013,90,54,36,60,40
Coahuila de Zaragoza,2013,82,55,27,67.07,32.93
Colima,2013,39,28,11,71.79,28.21
Chiapas,2013,200,152,48,76,24
Chihuahua,2013,207,126,81,60.87,39.13
Distrito Federal,2013,367,216,151,58.86,41.14
Durango,2013,74,50,24,67.57,32.43
Guanajuato,2013,260,121,139,46.54,53.46
Guerrero,2013,170,102,68,60,40
Hidalgo,2013,65,38,27,58.46,41.54
Jalisco,2013,228,166,62,72.81,27.19
México,2013,382,241,141,63.09,36.91
Michoacán de Ocampo,2013,143,89,54,62.24,37.76
Morelos,2013,89,38,51,42.7,57.3
Nayarit,2013,57,37,20,64.91,35.09
Nuevo León,2013,125,79,46,63.2,36.8
Oaxaca,2013,171,105,66,61.4,38.6
Puebla,2013,92,63,29,68.48,31.52
Querétaro,2013,68,38,30,55.88,44.12
Quintana Roo,2013,58,30,28,51.72,48.28
San Luis Potosí,2013,75,53,22,70.67,29.33
Sinaloa,2013,185,126,59,68.11,31.89
Sonora,2013,85,52,33,61.18,38.82
Tabasco,2013,105,47,58,44.76,55.24
Tamaulipas,2013,109,77,32,70.64,29.36
