Entidad federativa,2006,2011,2016
Nacional,22.42,22.23,11.58
Aguascalientes,21.79,22.43,10.88
Baja California,24.48,27.07,15.47
Baja California Sur,27.14,19.5,12.46
Campeche,24,24.97,15.22
Coahuila de Zaragoza,24.02,22.01,11.46
Colima,28.31,24.92,11.38
Chiapas,19.39,21.88,12.83
Chihuahua,21.66,24.84,10.52
Ciudad de México,22.76,23.87,14.38
Durango,17.47,17.59,7.79
Guanajuato,22.94,20.63,11.17
Guerrero,16.66,15.04,12.28
Hidalgo,28.09,23.51,12.61
Jalisco,18.48,19.53,10.15
México,26.95,20.91,10.58
Michoacán de Ocampo,15.02,16.74,10.54
Morelos,21.72,22.18,10.59
Nayarit,18.73,17.37,8.15
Nuevo León,24.95,31.09,16
Oaxaca,19.01,21.53,11.21
Puebla,17.63,21.6,11.38
Querétaro,23.81,24.9,13.91
Quintana Roo,30.95,27.81,13.67
San Luis Potosí,25.7,22.2,10.8
Sinaloa,15.09,20.77,10.09
Sonora,24.64,26.06,12.68
Tabasco,29.88,29.42,15.99
Tamaulipas,25.47,24.46,11.63
Tlaxcala,22.61,20.5,12.4
Veracruz de Ignacio de la Llave,20.35,22.22,8.09
Yucatán,27.99,28.47,14.94
Zacatecas,20.6,19.95,9.56
