Entidad Federativa,2006,2011,2016
Nacional,13.3,7.8,9.1
Aguascalientes,13.7,7.8,9.5
Baja California,10.8,5.4,5.3
Baja California Sur,10.5,5.7,6.1
Campeche,11,7.6,7.2
Coahuila de Zaragoza,11.3,6.8,7.7
Colima,15.4,8.5,9.4
Chiapas,9.6,5.8,6.7
Chihuahua,12.2,8.6,7.8
Ciudad de México,14.3,7,10.8
Durango,15.1,8.7,9
Guanajuato,11.8,8.7,8.5
Guerrero,15.2,9,9.3
Hidalgo,12.6,8.4,11
Jalisco,13.9,7.6,10.9
México,16.6,9.2,11.8
Michoacán de Ocampo,13.8,9.9,9.2
Morelos,13,8.2,10.5
Nayarit,13.6,9.2,8.9
Nuevo León,9.8,6.2,5.2
Oaxaca,15.4,8.3,10.4
Puebla,14.3,9.9,9.8
Querétaro,11.7,6.8,8.3
Quintana Roo,13.2,7.2,7.7
San Luis Potosí,11.4,9.1,9
Sinaloa,11.6,5.5,7.2
Sonora,11.8,6,6.2
Tabasco,17,5.8,9.4
Tamaulipas,10.4,5.8,6.6
Tlaxcala,12.4,7.9,9
Veracruz de Ignacio de la Llave,13.1,7.8,9.4
Yucatán,11.8,7,8.4
Zacatecas,14.4,9,8.4
