Entidad federativa,2006,2011,2016
Nacional,21.8,16.3,19.4
Aguascalientes,20.6,15.5,19.9
Baja California,17,13.1,14.4
Baja California Sur,16.9,14.2,14.1
Campeche,19.1,17.9,16.7
Coahuila de Zaragoza,17.6,13.3,18.3
Colima,23.4,18.8,17.8
Chiapas,15.8,12.7,18
Chihuahua,20.4,16.8,17.6
Ciudad de México,22.3,15.8,20.6
Durango,22.8,16.2,19.7
Guanajuato,18.4,16.4,18.6
Guerrero,25.5,17.5,21.9
Hidalgo,21.5,17,21.4
Jalisco,24,15.1,19.4
México,27.6,18.7,23.1
Michoacán de Ocampo,21.2,17.4,19.6
Morelos,23.6,17.6,20.6
Nayarit,20.2,17.4,16.8
Nuevo León,15.7,13.5,13.4
Oaxaca,25,17.5,22
Puebla,25.3,17.9,20.4
Querétaro,19,15.6,17.5
Quintana Roo,23.3,16.3,19
San Luis Potosí,19.1,18.3,19.5
Sinaloa,17.1,12,15
Sonora,17.6,13.5,13.5
Tabasco,28.2,15.2,21.4
Tamaulipas,15.3,13.7,15
Tlaxcala,21.6,16.9,21.4
Veracruz de Ignacio de la Llave,21.5,17.9,20.1
Yucatán,20.3,16.2,20.6
Zacatecas,20.1,17.5,17.8
