Entidad federativa,Año,Trimestre,"Porcentaje de mujeres en el funcionariado público (Funcionarias y directivas de los sectores público, privado y social)","Funcionarios y directivos de los sectores público, privado y social. Total","Funcionarios y directivos de los sectores público, privado y social. Mujer"
Estados Unidos Mexicanos,2018,4,38.2,988744,377667
Aguascalientes,2018,4,37.8,8831,3342
Baja California,2018,4,37.5,30517,11436
Baja California Sur,2018,4,39.9,11883,4740
Campeche,2018,4,36.6,7702,2822
Coahuila de Zaragoza,2018,4,33.5,20539,6874
Colima,2018,4,43.3,9003,3895
Chiapas,2018,4,27.8,21828,6067
Chihuahua,2018,4,42.2,42798,18074
Ciudad de México,2018,4,35.4,136684,48329
Durango,2018,4,43.1,11285,4866
Guanajuato,2018,4,30.0,38106,11434
Guerrero,2018,4,14.7,5062,744
Hidalgo,2018,4,42.0,16630,6992
Jalisco,2018,4,34.1,93843,32028
México,2018,4,48.0,130291,62575
Michoacán de Ocampo,2018,4,42.0,18494,7763
Morelos,2018,4,33.5,12328,4127
Nayarit,2018,4,45.7,7714,3522
Nuevo León,2018,4,32.1,66968,21530
Oaxaca,2018,4,34.2,13447,4604
Puebla,2018,4,36.7,43582,15994
Querétaro,2018,4,36.3,19888,7227
Quintana Roo,2018,4,42.3,23735,10044
San Luís Potosí,2018,4,37.0,22299,8250
Sinaloa,2018,4,43.1,20964,9036
Sonora,2018,4,37.9,44954,17026
Tabasco,2018,4,46.5,13867,6450
Tamaulipas,2018,4,42.8,30425,13008
Tlaxcala,2018,4,36.5,4707,1716
Veracruz de Ignacio de la Llave,2018,4,46.3,27870,12899
Yucatán,2018,4,31.3,23423,7332
Zacatecas,2018,4,32.2,9077,2921
Estados Unidos Mexicanos,2017,4,38.2,996318,380976
Aguascalientes,2017,4,33.1,11131,3679
Baja California,2017,4,30.0,32472,9732
Baja California Sur,2017,4,47.0,12046,5664
Campeche,2017,4,34.4,5722,1967
Coahuila de Zaragoza,2017,4,29.2,23490,6870
Colima,2017,4,43.6,9420,4109
Chiapas,2017,4,34.2,21509,7363
Chihuahua,2017,4,27.7,37089,10290
Ciudad de México,2017,4,37.1,154527,57353
Durango,2017,4,44.2,9965,4408
Guanajuato,2017,4,40.3,34168,13786
Guerrero,2017,4,17.5,9107,1595
Hidalgo,2017,4,31.8,13266,4223
