Entidad federativa,Periodo,Trimestre,Brecha en el ingreso entre hombres y mujeres,Ingreso promedio por hora trabajada de la población ocupada de mujeres,Ingreso promedio por hora trabajada de la población ocupada de hombres
Estados Unidos Mexicanos,2014,4,-0.1,30.9,30.8
Aguascalientes,2014,4,-1.6,29.4,27.8
Baja California,2014,4,2.5,33.3,35.8
Baja California Sur,2014,4,4.7,45.3,50
Campeche,2014,4,-1.7,33.8,32.1
Coahuila de Zaragoza,2014,4,2,35.2,37.2
Colima,2014,4,2,37.3,39.3
Chiapas,2014,4,-6.1,24,17.9
Chihuahua,2014,4,5,31.6,36.6
Ciudad de México,2014,4,-0.7,39.9,39.2
Durango,2014,4,-0.4,28.3,27.9
Guanajuato,2014,4,-1.9,30.9,29
Guerrero,2014,4,0.4,25.3,25.7
Hidalgo,2014,4,-1.2,28.1,26.9
Jalisco,2014,4,3.1,31.5,34.6
México,2014,4,1.6,25.6,27.2
Michoacán de Ocampo,2014,4,1.4,28.9,30.3
Morelos,2014,4,2.5,24.7,27.2
Nayarit,2014,4,0.5,33.5,34
Nuevo León,2014,4,-0.6,40.4,39.8
Oaxaca,2014,4,-0.2,25.3,25.1
Puebla,2014,4,-1.4,27.4,26
Querétaro,2014,4,2.2,30.4,32.6
Quintana Roo,2014,4,0.7,33.1,33.8
San Luis Potosí,2014,4,-3.4,30.1,26.7
Sinaloa,2014,4,0.3,37.1,37.4
Sonora,2014,4,-0.6,38.8,38.2
Tabasco,2014,4,-3.3,35.1,31.8
Tamaulipas,2014,4,1.6,33.3,34.9
Tlaxcala,2014,4,0.5,24.8,25.3
Veracruz de Ignacio de la Llave,2014,4,0.1,25.9,26
Yucatán,2014,4,-0.3,28.3,28
Zacatecas,2014,4,-2.4,29.3,26.9
Estados Unidos Mexicanos,2015,4,0.1,33,33.1
Aguascalientes,2015,4,-1.8,33.3,31.5
Baja California,2015,4,3.5,35.7,39.2
Baja California Sur,2015,4,4.4,44.1,48.5
Campeche,2015,4,-1.5,34.4,32.9
Coahuila de Zaragoza,2015,4,-0.1,38.1,38
Colima,2015,4,5.7,37.3,43
Chiapas,2015,4,-4.8,24.4,19.6
Chihuahua,2015,4,2.6,36.6,39.2
Ciudad de México,2015,4,0.3,45.8,46.1
Durango,2015,4,-0.6,31,30.4
Guanajuato,2015,4,-1.7,30.8,29.1
Guerrero,2015,4,2,23.8,25.8
Hidalgo,2015,4,-1.9,29.1,27.2
Jalisco,2015,4,2.6,34.6,37.2
México,2015,4,3.4,28.7,32.1
Michoacán de Ocampo,2015,4,1.4,30.3,31.7
Morelos,2015,4,-0.7,27.5,26.8
Nayarit,2015,4,1.5,33.3,34.8
Nuevo León,2015,4,-2.4,45.2,42.8
Oaxaca,2015,4,1.9,24.7,26.6
Puebla,2015,4,-0.1,25.9,25.8
Querétaro,2015,4,-0.7,32.3,31.6
Quintana Roo,2015,4,-0.8,35.8,35
San Luis Potosí,2015,4,-2.7,33.7,31
Sinaloa,2015,4,-3.6,46,42.4
Sonora,2015,4,3.3,36.5,39.8
Tabasco,2015,4,-3.6,35.5,31.9
Tamaulipas,2015,4,0.7,34.8,35.5
Tlaxcala,2015,4,0.6,26.7,27.3
Veracruz de Ignacio de la Llave,2015,4,-1.3,28.4,27.1
Yucatán,2015,4,1.2,30.7,31.9
Zacatecas,2015,4,-5.7,36.6,30.9
Estados Unidos Mexicanos,2016,4,0.5,34.1,34.6
Aguascalientes,2016,4,-0.3,32,31.7
Baja California,2016,4,2.1,36.8,38.9
Baja California Sur,2016,4,3.1,53.5,56.6
Campeche,2016,4,-1.9,35.3,33.4
Coahuila de Zaragoza,2016,4,-1.4,38.9,37.5
Colima,2016,4,0.4,39.9,40.3
Chiapas,2016,4,-5.4,26.5,21.1
Chihuahua,2016,4,5.1,37.9,43
Ciudad de México,2016,4,3.4,49.3,52.7
Durango,2016,4,-0.6,33.5,32.9
Guanajuato,2016,4,0.6,30.4,31
Guerrero,2016,4,3.9,26.3,30.2
Hidalgo,2016,4,-1.5,30.9,29.4
Jalisco,2016,4,3.9,34.4,38.3
México,2016,4,0.2,30.6,30.8
Michoacán de Ocampo,2016,4,2.3,31.1,33.4
Morelos,2016,4,0,25.5,25.5
Nayarit,2016,4,3.4,33.1,36.5
